,Date and Time of initial call,Borough,Property,Location,Species Description,Species Status,Animal Condition,Animal Class,Final Ranger Action,# of Animals,Year,full_address
3903,2022-08-21 16:23:00,Staten Island,LaTourette Park & Golf Course,"yellow, red and blue trail intersect, very close to golf course",white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2022,"LaTourette Park & Golf Course, Staten Island, NY"
3909,2022-08-22 15:42:00,Staten Island,High Rock Park,Off of Tonking Ave trailhead,white-tailed deer,Native,DOA,Deer,Advised/Educated others,1.0,2022,"High Rock Park, Staten Island, NY"
3936,2022-08-28 08:00:00,Bronx,Van Cortlandt Park,Field across from DOT parking lot,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2022,"Van Cortlandt Park, Bronx, NY"
4237,2022-11-11 10:45:00,Bronx,Pelham Bay Park,Glover's Rock,white-tailed deer,Native,DOA,Deer,Advised/Educated others,1.0,2022,"Pelham Bay Park, Bronx, NY"
4820,2023-05-12 11:15:00,Bronx,Van Cortlandt Park,Putnam Trail/Parade Grounds,white-tailed deer,Native,Unhealthy,Deer,Submitted for DEC Testing,1.0,2023,"Van Cortlandt Park, Bronx, NY"
4907,2023-05-27 15:00:00,Queens,Alley Pond Park,"White Trail (- 40.763233, -73.751234)",white-tailed deer,Native,Healthy,Deer,Monitored Animal,1.0,2023,"Alley Pond Park, Queens, NY"
4959,2023-06-08 12:45:00,Staten Island,Jones Woods Park,Butler Terrace and Brighton Ave,white-tailed deer,Native,Injured,Deer,Unfounded,0.0,2023,"Jones Woods Park, Staten Island, NY"
4967,2023-06-11 11:00:00,Bronx,Pelham Bay Park,Orchard Beach basketball courts,white-tailed deer,Native,Healthy,Deer,Relocated/Condition Corrected,1.0,2023,"Pelham Bay Park, Bronx, NY"
5012,2023-06-18 12:50:00,Bronx,Pelham Bay Park,Orchard Beach Section 7,white-tailed deer,Native,Healthy,Deer,Relocated/Condition Corrected,1.0,2023,"Pelham Bay Park, Bronx, NY"
5100,2024-06-20 15:35:00,Staten Island,Blue Heron Park,62 Phillip avenue,white-tailed deer,Native,DOA,"[""Deer""]",Relocated/Condition Corrected,1.0,2024,"Blue Heron Park, Staten Island, NY"
5186,2024-06-05 07:45:00,Queens,Forest Park,Strack Pond,white-tailed deer,Native,Healthy,"[""Deer""]",Monitored Animal,1.0,2024,"Forest Park, Queens, NY"
5193,2024-05-16 16:35:00,Queens,Forest Park,Golf Course,white-tailed deer,Native,Healthy,"[""Deer""]",Unfounded,0.0,2024,"Forest Park, Queens, NY"
5553,2024-02-25 11:00:00,Bronx,Van Cortlandt Park,Vault Hill,white-tailed deer,Native,Injured,"[""Deer""]",Unfounded,0.0,2024,"Van Cortlandt Park, Bronx, NY"
5585,2024-02-11 10:00:00,Manhattan,Fort Washington Park,"South of Public Restroom, about 168th Street. (40°50'43.1""N 73°56'45.5""W)",white-tailed deer,Native,Healthy,"[""Deer""]",Monitored Animal,1.0,2024,"Fort Washington Park, Manhattan, NY"
5707,2023-12-31 17:00:00,Bronx,Pelham Bay Park,Siwonony Trail near Bartow/Pell Manor,white-tailed deer,Native,DOA,"[""Deer""]",ACC,1.0,2023,"Pelham Bay Park, Bronx, NY"
5739,2023-12-22 10:00:00,Bronx,Pelham Bay Park,City Island Cirlce,white-tailed deer,Native,Injured,"[""Deer""]",Relocated/Condition Corrected,1.0,2023,"Pelham Bay Park, Bronx, NY"
5815,2023-11-20 13:15:00,Manhattan,Fort Washington Park,Between 181st and 177th,white-tailed deer,Native,Healthy,"[""Deer""]",Unfounded,0.0,2023,"Fort Washington Park, Manhattan, NY"
5833,2023-11-12 13:00:00,Staten Island,Blue Heron Park,"40.53133N, 74.17743W",white-tailed deer,Native,DOA,"[""Deer""]",Relocated/Condition Corrected,1.0,2023,"Blue Heron Park, Staten Island, NY"
5912,2023-10-19 13:00:00,Manhattan,Fort Washington Park,Hudson River Greenway and 180th St,white-tailed deer,Native,Healthy,"[""Deer""]",Monitored Animal,1.0,2023,"Fort Washington Park, Manhattan, NY"
6077,2023-09-05 09:20:00,Staten Island,Ocean Breeze Track & Field Athletic Complex,second floor ramp/balcony,white-tailed deer,Native,Injured,"[""Deer""]",ACC,1.0,2023,"Ocean Breeze Track & Field Athletic Complex, Staten Island, NY"
6263,2023-07-26 09:30:00,Staten Island,Allison Pond Park,Foot bridge near pond,white-tailed deer,Native,Injured,"[""Deer""]",Unfounded,0.0,2023,"Allison Pond Park, Staten Island, NY"
6371,2023-07-03 11:00:00,Brooklyn,Shore Park and Parkway,U.S. Army gated dock area along shore and bike path under Verazzano Bridge,white-tailed deer,Native,Injured,"[""Deer""]",ACC,1.0,2023,"Shore Park and Parkway, Brooklyn, NY"
